id,year,day,month,mean_t
5530E,2012,31,5,25.0
5530E,2012,30,5,22.8
5530E,2012,29,5,21.05
5530E,2012,6,5,14.45
5530E,2012,5,5,12.5
5530E,2012,4,5,12.55
5530E,2012,3,5,12.8
5530E,2012,2,5,12.3
5530E,2012,1,5,10.35
5530E,2012,7,5,15.15
5530E,2012,8,5,17.55
5530E,2012,10,5,21.8
5530E,2012,28,5,21.950000000000003
5530E,2012,27,5,19.9
5530E,2012,26,5,20.55
5530E,2012,25,5,21.05
5530E,2012,24,5,20.85
5530E,2012,23,5,19.9
5530E,2012,22,5,17.0
5530E,2012,21,5,12.75
5530E,2012,9,5,20.95
5530E,2012,20,5,12.1
5530E,2012,18,5,21.85
5530E,2012,17,5,23.1
5530E,2012,16,5,24.200000000000003
5530E,2012,15,5,22.8
5530E,2012,14,5,24.1
5530E,2012,13,5,23.9
5530E,2012,12,5,23.05
5530E,2012,11,5,23.35
5530E,2012,19,5,16.6
