Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Officer,Eric A. Zelms,Gunfire,"Thursday, January 1, 1970",1970,January,Thursday,"San Francisco Police Department, CA",California,0
Officer,"Robert J. Furmage, Jr.",Vehicular assault,"Friday, January 2, 1970",1970,January,Friday,"North Carolina Division of Motor Vehicles Enforcement Section, NC",North Carolina,0
Officer,Danny M. Cariker,Automobile crash,"Saturday, January 3, 1970",1970,January,Saturday,"Richmond Police Department, CA",California,0
Investigator,William Henry Phillips,Gunfire,"Tuesday, January 6, 1970",1970,January,Tuesday,"United States Department of Justice - Immigration and Naturalization Service - Investigations, US",United States,0
Patrolman,Wallace Earl Nesbitt,Gunfire,"Thursday, January 8, 1970",1970,January,Thursday,"Newport News Police Department, VA",Virginia,0
Assistant Chief,Edward William Jones,Automobile crash,"Friday, January 9, 1970",1970,January,Friday,"Polk County Police Department, GA",Georgia,0
Detective,H. Thomas Guerry,Gunfire,"Tuesday, January 13, 1970",1970,January,Tuesday,"Santa Barbara Police Department, CA",California,0
Officer,Robert Henderson Shipp,Gunfire,"Tuesday, January 13, 1970",1970,January,Tuesday,"Dallas Police Department, TX",Texas,0
Deputy Sheriff,Frank Crampton,Gunfire,"Thursday, January 15, 1970",1970,January,Thursday,"Washtenaw County Sheriff's Department, MI",Michigan,0
Officer,John V. Mills,Assault,"Friday, January 16, 1970",1970,January,Friday,"California Department of Corrections and Rehabilitation, CA",California,0
Police Officer,George F. Heim,Struck by vehicle,"Friday, January 16, 1970",1970,January,Friday,"Baltimore City Police Department, MD",Maryland,0
Police Officer,Jimmy O. Harris,Gunfire,"Sunday, January 18, 1970",1970,January,Sunday,"Augusta Police Department, GA",Georgia,0
Sergeant,Quintin Velez-Figueroa,Gunfire,"Monday, January 19, 1970",1970,January,Monday,"Puerto Rico Police Department, PR",Puerto Rico,0
Detective,James E. Boevingloh,Gunfire,"Friday, January 23, 1970",1970,January,Friday,"University City Police Department, MO",Missouri,0
Police Officer,Richard P. Woyshner,Gunfire,"Saturday, January 24, 1970",1970,January,Saturday,"Detroit Police Department, MI",Michigan,0
Patrolman,James Lee Mobley,Gunfire,"Sunday, January 25, 1970",1970,January,Sunday,"Dayton Police Department, OH",Ohio,0
Sheriff,Joel L. Powers,Automobile crash,"Sunday, January 25, 1970",1970,January,Sunday,"Goochland County Sheriff's Office, VA",Virginia,0
Deputy Sheriff,Billy Joe Dickens,Gunfire,"Tuesday, January 27, 1970",1970,January,Tuesday,"Stanislaus County Sheriff's Department, CA",California,0
